Absorber Layer,PCE,Voc,Jsc,FF
F(DPP)2B2,"{'value': 3.17, 'error': None, 'unit': '%'}","{'value': 1.18, 'error': None, 'unit': 'V'}","{'value': 5.35, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
FBR,"{'value': 4.11, 'error': None, 'unit': '%'}","{'value': 0.82, 'error': None, 'unit': 'V'}","{'value': 7.95, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.0, 'error': None, 'unit': '%'}"
DICTF,"{'value': 7.93, 'error': None, 'unit': '%'}","{'value': 0.86, 'error': None, 'unit': 'V'}","{'value': 16.61, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.00000000000001, 'error': None, 'unit': '%'}"
FDICTF,"{'value': 10.06, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 16.09, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.0, 'error': None, 'unit': '%'}"
CBM,"{'value': 5.3, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 10.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 53.0, 'error': None, 'unit': '%'}"
SF-OR,"{'value': 4.7, 'error': None, 'unit': '%'}","{'value': 0.97, 'error': None, 'unit': 'V'}","{'value': 7.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
H1,"{'value': 5.4, 'error': None, 'unit': '%'}","{'value': 1.17, 'error': None, 'unit': 'V'}","{'value': 7.74, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
P(NDI2OD-T2),"{'value': 8.27, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 14.18, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.0, 'error': None, 'unit': '%'}"
P(NDI2HD-T2),"{'value': 6.11, 'error': None, 'unit': '%'}","{'value': 0.82, 'error': None, 'unit': 'V'}","{'value': 13.97, 'error': None, 'unit': 'mA/cm2'}","{'value': 53.0, 'error': None, 'unit': '%'}"
P(NDI2TOD-T2),"{'value': 4.75, 'error': None, 'unit': '%'}","{'value': 0.77, 'error': None, 'unit': 'V'}","{'value': 11.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
P(NDI2DT-FT2),"{'value': 6.71, 'error': None, 'unit': '%'}","{'value': 0.81, 'error': None, 'unit': 'V'}","{'value': 13.53, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
P(NDI2HD-T),"{'value': 6.64, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 11.22, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.00000000000001, 'error': None, 'unit': '%'}"
HxMoO3−y,"{'value': 12.5, 'error': None, 'unit': '%'}","{'value': 0.93, 'error': None, 'unit': 'V'}","{'value': 21.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.0, 'error': None, 'unit': '%'}"
HxMoO3−y,"{'value': 14.3, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 22.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
PbS/CdS,"{'value': 2.23, 'error': None, 'unit': '%'}","{'value': 0.318, 'error': None, 'unit': 'V'}","{'value': 17.38, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.21, 'error': None, 'unit': '%'}"
ZnS/Mg(OH)x,"{'value': 9.5, 'error': None, 'unit': '%'}","{'value': 0.03, 'error': None, 'unit': 'V'}",,
ZnS/Ca(OH)x,"{'value': 9.5, 'error': None, 'unit': '%'}","{'value': 0.03, 'error': None, 'unit': 'V'}",,
ZnS/Ga(OH)x,"{'value': 9.5, 'error': None, 'unit': '%'}","{'value': 0.03, 'error': None, 'unit': 'V'}",,
CsPbBr3 QD,"{'value': 7.04, 'error': None, 'unit': '%'}","{'value': 1.59, 'error': None, 'unit': 'V'}","{'value': 5.93, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.7, 'error': None, 'unit': '%'}"
CH3NH3PbI3−x(SCN)x,"{'value': 11.07, 'error': None, 'unit': '%'}","{'value': 1.05, 'error': None, 'unit': 'V'}","{'value': 15.51, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
"(5Z,5′Z)-5,5′-((3,3′′′′,3′′′′′,3′′′′′′,4′,4′′-hexaoctyl-[2,2′:5′,2′′:5′′,2′′′:5′′′,2′′′′-quinquethiophene]-5,5′′′′′′diyl)-bis(methanylylidene))bis(3-ethyl-2-thioxothiazolidin-4-one) (DRCN5T)","{'value': 6.5, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
P-o-DFBT,"{'value': 10.0, 'error': None, 'unit': '%'}","{'value': 0.84, 'error': None, 'unit': 'V'}","{'value': 18.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.45, 'error': None, 'unit': '%'}"
P-i-DFBT,"{'value': 6.67, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 14.15, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.61, 'error': None, 'unit': '%'}"
P-o-NT,"{'value': 9.95, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 17.66, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.76, 'error': None, 'unit': '%'}"
P-i-NT,"{'value': 6.34, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 16.33, 'error': None, 'unit': 'mA/cm2'}","{'value': 46.19, 'error': None, 'unit': '%'}"
CsPbBr3/Ti3C2-MXene,"{'value': 7.85, 'error': None, 'unit': '%'}","{'value': 1.371, 'error': None, 'unit': 'V'}","{'value': 8.22, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.62, 'error': None, 'unit': '%'}"
CsPbBr3,"{'value': 7.11, 'error': None, 'unit': '%'}","{'value': 1.387, 'error': None, 'unit': 'V'}","{'value': 7.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.18, 'error': None, 'unit': '%'}"
Si–H/MoO3−x,"{'value': 6.2, 'error': None, 'unit': '%'}","{'value': 0.48, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.4, 'error': None, 'unit': '%'}"
Si–CH3/MoO3−x,"{'value': 9.4, 'error': None, 'unit': '%'}","{'value': 0.5, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.7, 'error': None, 'unit': '%'}"
PTBF-CNQx,"{'value': 9.2, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PTBF-CNQx,"{'value': 14.0, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
BaTiO3/TiO2,"{'value': 7.29, 'error': None, 'unit': '%'}",,"{'value': 14.44, 'error': None, 'unit': 'mA/cm2'}",
PTB7:PC70BM,"{'value': 8.01, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 15.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.9, 'error': None, 'unit': '%'}"
"Cu2ZnSn(S,Se)4","{'value': 11.8, 'error': None, 'unit': '%'}",,,
PTB7 or PTB7-Th,"{'value': 9.24, 'error': None, 'unit': '%'}","{'value': 0.81, 'error': None, 'unit': 'V'}","{'value': 16.49, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.37, 'error': None, 'unit': '%'}"
P2T,"{'value': 15.18, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 23.62, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
P2T-Cl,"{'value': 15.4, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 23.81, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.0, 'error': None, 'unit': '%'}"
PTAA,"{'value': 12.74, 'error': None, 'unit': '%'}","{'value': 0.94, 'error': None, 'unit': 'V'}","{'value': 23.76, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.0, 'error': None, 'unit': '%'}"
SF-PDI2,"{'value': 7.61, 'error': None, 'unit': '%'}","{'value': 0.92, 'error': None, 'unit': 'V'}","{'value': 19.03, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.05, 'error': None, 'unit': '%'}"
SF-PDI2,"{'value': 17.04, 'error': None, 'unit': '%'}","{'value': 1.06, 'error': None, 'unit': 'V'}","{'value': 23.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.62, 'error': None, 'unit': '%'}"
CZTSSe,"{'value': 10.3, 'error': None, 'unit': '%'}","{'value': 0.5312, 'error': None, 'unit': 'V'}","{'value': 29.96, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.7, 'error': None, 'unit': '%'}"
MAPbClxI3−x,"{'value': 10.9, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 20.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.3, 'error': None, 'unit': '%'}"
MAPbClxI3−x,"{'value': 14.6, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 22.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.30000000000001, 'error': None, 'unit': '%'}"
PDI-PhCN,"{'value': 14.6, 'error': None, 'unit': '%'}",,,
TiO2,"{'value': 9.59, 'error': None, 'unit': '%'}","{'value': 0.747, 'error': None, 'unit': 'V'}","{'value': 18.67, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.8, 'error': None, 'unit': '%'}"
TiO2 with 5 nm Au NPs,"{'value': 10.8, 'error': None, 'unit': '%'}","{'value': 0.797, 'error': None, 'unit': 'V'}","{'value': 19.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.8, 'error': None, 'unit': '%'}"
TiO2 with 45 nm Au NPs,"{'value': 10.52, 'error': None, 'unit': '%'}","{'value': 0.764, 'error': None, 'unit': 'V'}","{'value': 20.11, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.5, 'error': None, 'unit': '%'}"
TiO2 with 110 nm Au NPs,"{'value': 10.2, 'error': None, 'unit': '%'}","{'value': 0.753, 'error': None, 'unit': 'V'}","{'value': 19.89, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.10000000000001, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 15.3, 'error': None, 'unit': '%'}",,,"{'value': 79.0, 'error': None, 'unit': '%'}"
PDI-C9,"{'value': 0.182, 'error': None, 'unit': '%'}","{'value': 0.36, 'error': None, 'unit': 'V'}","{'value': 1.32, 'error': None, 'unit': 'mA/cm2'}","{'value': 38.0, 'error': None, 'unit': '%'}"
5-PDI,"{'value': 0.073, 'error': None, 'unit': '%'}","{'value': 0.63, 'error': None, 'unit': 'V'}","{'value': 0.21, 'error': None, 'unit': 'mA/cm2'}","{'value': 21.0, 'error': None, 'unit': '%'}"
PDI-BI,"{'value': 0.061, 'error': None, 'unit': '%'}","{'value': 0.37, 'error': None, 'unit': 'V'}","{'value': 0.47, 'error': None, 'unit': 'mA/cm2'}","{'value': 35.0, 'error': None, 'unit': '%'}"
PDI-CN,"{'value': 0.005, 'error': None, 'unit': '%'}","{'value': 0.13, 'error': None, 'unit': 'V'}","{'value': 0.12, 'error': None, 'unit': 'mA/cm2'}","{'value': 30.0, 'error': None, 'unit': '%'}"
TiO2,"{'value': 2.6, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 6.14, 'error': None, 'unit': 'mA/cm2'}",
sym-HTPcH (neat),"{'value': 4.21, 'error': None, 'unit': '%'}","{'value': 0.796, 'error': None, 'unit': 'V'}","{'value': 8.13, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.7, 'error': None, 'unit': '%'}"
sym-HTPcH (Al2O3),"{'value': 12.8, 'error': None, 'unit': '%'}","{'value': 0.988, 'error': None, 'unit': 'V'}","{'value': 17.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.0, 'error': None, 'unit': '%'}"
spiro-OMeTAD,"{'value': 15.7, 'error': None, 'unit': '%'}","{'value': 1.02, 'error': None, 'unit': 'V'}","{'value': 20.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.0, 'error': None, 'unit': '%'}"
3D seed grain,"{'value': 11.28, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}","{'value': 17.21, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.7, 'error': None, 'unit': '%'}"
2D/3D with DMF,"{'value': 16.01, 'error': None, 'unit': '%'}","{'value': 1.02, 'error': None, 'unit': 'V'}","{'value': 19.52, 'error': None, 'unit': 'mA/cm2'}","{'value': 80.2, 'error': None, 'unit': '%'}"
2D/3D without DMF,"{'value': 13.34, 'error': None, 'unit': '%'}","{'value': 1.04, 'error': None, 'unit': 'V'}","{'value': 16.88, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.3, 'error': None, 'unit': '%'}"
Regular 3D,"{'value': 15.61, 'error': None, 'unit': '%'}","{'value': 0.97, 'error': None, 'unit': 'V'}","{'value': 20.43, 'error': None, 'unit': 'mA/cm2'}","{'value': 78.3, 'error': None, 'unit': '%'}"
PhDMe(DPP)2,"{'value': 0.65, 'error': None, 'unit': '%'}",,,
Ph(DPP)3,"{'value': 0.54, 'error': None, 'unit': '%'}",,,
PM7/ITC6-IC (1:1),"{'value': 5.85, 'error': None, 'unit': '%'}","{'value': 1.02, 'error': None, 'unit': 'V'}","{'value': 11.83, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.5, 'error': None, 'unit': '%'}"
PM7/IT-4F (1:1),"{'value': 10.24, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 18.27, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.69, 'error': None, 'unit': '%'}"
PM7/ITC6-4F (1:1.25),"{'value': 12.1, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 19.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.97, 'error': None, 'unit': '%'}"
PM7/ITC6-4F (1:1.25) with 0.5% CN&DIO additive and thermal annealing at 150 °C for 5 min,"{'value': 14.47, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}","{'value': 21.64, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.31, 'error': None, 'unit': '%'}"
PDTS-DTffBT/PC71BM,"{'value': 5.26, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 10.85, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.0, 'error': None, 'unit': '%'}"
N/A,"{'value': 14.21, 'error': None, 'unit': '%'}",,,
Not provided,"{'value': 17.75, 'error': None, 'unit': '%'}","{'value': 1.09, 'error': None, 'unit': 'V'}","{'value': 20.76, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.53, 'error': None, 'unit': '%'}"
5-NiCo2O4,"{'value': 19.24, 'error': None, 'unit': '%'}","{'value': 1.02, 'error': None, 'unit': 'V'}","{'value': 24.31, 'error': None, 'unit': 'mA/cm2'}","{'value': 77.89, 'error': None, 'unit': '%'}"
TiO2/CdS/Au/MoO3-nS2−/Sn2− gel-In2S3/NiO/C-fabric,"{'value': 7.987, 'error': None, 'unit': '%'}","{'value': 0.785, 'error': None, 'unit': 'V'}","{'value': 17.99, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.54, 'error': None, 'unit': '%'}"
NiO/In2S3,"{'value': 0.047, 'error': None, 'unit': '%'}","{'value': 0.182, 'error': None, 'unit': 'V'}","{'value': 0.84, 'error': None, 'unit': 'mA/cm2'}","{'value': 30.53, 'error': None, 'unit': '%'}"
In2S3,"{'value': 6.01, 'error': None, 'unit': '%'}",,,
CsPbI2Br,"{'value': 13.3, 'error': None, 'unit': '%'}","{'value': 1.12, 'error': None, 'unit': 'V'}","{'value': 15.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.1, 'error': None, 'unit': '%'}"
NGFs,"{'value': 7.32, 'error': None, 'unit': '%'}","{'value': 0.736, 'error': None, 'unit': 'V'}","{'value': 14.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.7, 'error': None, 'unit': '%'}"
C2,"{'value': 7.28, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 15.62, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
C4,"{'value': 8.93, 'error': None, 'unit': '%'}","{'value': 0.87, 'error': None, 'unit': 'V'}","{'value': 18.43, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.00000000000001, 'error': None, 'unit': '%'}"
C6,"{'value': 10.16, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 20.12, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.99999999999999, 'error': None, 'unit': '%'}"
N/A,"{'value': 4.5, 'error': None, 'unit': '%'}",,,
Dion-Jacobson phase (CH2)8(NH3)2Csn−1SnnBr3n+1,"{'value': 20.0, 'error': None, 'unit': '%'}",,,
PQCTQx,"{'value': 2.3, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 5.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.1, 'error': None, 'unit': '%'}"
PQCTPz,"{'value': 1.8, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 3.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.8, 'error': None, 'unit': '%'}"
CdSe Qdots/P3HT,"{'value': 2.4, 'error': None, 'unit': '%'}",,,
P3HT:CdSe,"{'value': 1.48, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 4.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 47.0, 'error': None, 'unit': '%'}"
perovskite/PCBM heterojunction,"{'value': 0.98, 'error': None, 'unit': '%'}","{'value': 0.53, 'error': None, 'unit': 'V'}","{'value': 4.44, 'error': None, 'unit': 'mA/cm2'}","{'value': 41.64, 'error': None, 'unit': '%'}"
PCPDTBFQ,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PDTSBFQ,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PNB-4,"{'value': 5.3, 'error': None, 'unit': '%'}","{'value': 0.64, 'error': None, 'unit': 'V'}","{'value': 13.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
(3PS)2-SiPc,"{'value': 4.3, 'error': None, 'unit': '%'}","{'value': 0.79, 'error': None, 'unit': 'V'}","{'value': 8.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.0, 'error': None, 'unit': '%'}"
2C,"{'value': 5.87, 'error': None, 'unit': '%'}","{'value': 0.767, 'error': None, 'unit': 'V'}","{'value': 11.47, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.0, 'error': None, 'unit': '%'}"
3C,"{'value': 6.33, 'error': None, 'unit': '%'}","{'value': 0.796, 'error': None, 'unit': 'V'}","{'value': 11.67, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
4C,"{'value': 6.16, 'error': None, 'unit': '%'}","{'value': 0.792, 'error': None, 'unit': 'V'}","{'value': 11.46, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
CZTS,"{'value': 8.7, 'error': None, 'unit': '%'}","{'value': 0.691, 'error': None, 'unit': 'V'}","{'value': 20.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.9, 'error': None, 'unit': '%'}"
N/A,"{'value': 13.3, 'error': None, 'unit': '%'}",,,
PffBT4T-2OD,"{'value': 6.62, 'error': None, 'unit': '%'}","{'value': 0.781, 'error': None, 'unit': 'V'}","{'value': 17.79, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.98, 'error': None, 'unit': '%'}"
PffBT4T-2OD:PC71BM,"{'value': 6.6, 'error': None, 'unit': '%'}",,,
PTB7-Th:FUIC,"{'value': 11.2, 'error': None, 'unit': '%'}",,,"{'value': 70.6, 'error': None, 'unit': '%'}"
PTB7-Th:i-FUIC,"{'value': 10.3, 'error': None, 'unit': '%'}",,,
"TAOZ, TAOT, TAZ, TAT","{'value': 13.7, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 40.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 75.0, 'error': None, 'unit': '%'}"
TiO2 nanosheets,"{'value': 30.3, 'error': None, 'unit': '%'}",,,
PTB7-Th:ITVfIC,"{'value': 8.21, 'error': None, 'unit': '%'}","{'value': 0.734, 'error': None, 'unit': 'V'}","{'value': 17.24, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.65, 'error': None, 'unit': '%'}"
PTB7-Th:ITVfIC,"{'value': 7.46, 'error': None, 'unit': '%'}","{'value': 0.734, 'error': None, 'unit': 'V'}","{'value': 17.24, 'error': None, 'unit': 'mA/cm2'}","{'value': 58.97, 'error': None, 'unit': '%'}"
N/A,"{'value': 18.4, 'error': None, 'unit': '%'}",,,
PBDB-T:ITIC,"{'value': 7.14, 'error': None, 'unit': '%'}","{'value': 0.898, 'error': None, 'unit': 'V'}","{'value': 14.11, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.7, 'error': None, 'unit': '%'}"
PBDB-T:ITIC,"{'value': 5.86, 'error': None, 'unit': '%'}","{'value': 0.835, 'error': None, 'unit': 'V'}","{'value': 14.82, 'error': None, 'unit': 'mA/cm2'}","{'value': 47.4, 'error': None, 'unit': '%'}"
PTB7-Th:NCBDT,"{'value': 8.92, 'error': None, 'unit': '%'}","{'value': 0.781, 'error': None, 'unit': 'V'}","{'value': 17.39, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.6, 'error': None, 'unit': '%'}"
PTB7-Th:NCBDT,"{'value': 8.27, 'error': None, 'unit': '%'}","{'value': 0.759, 'error': None, 'unit': 'V'}","{'value': 17.37, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.8, 'error': None, 'unit': '%'}"
PDCBT:NCBDT,"{'value': 6.91, 'error': None, 'unit': '%'}","{'value': 0.872, 'error': None, 'unit': 'V'}","{'value': 12.91, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.3, 'error': None, 'unit': '%'}"
PDCBT:NCBDT,"{'value': 3.28, 'error': None, 'unit': '%'}","{'value': 0.873, 'error': None, 'unit': 'V'}","{'value': 8.39, 'error': None, 'unit': 'mA/cm2'}","{'value': 44.7, 'error': None, 'unit': '%'}"
PDCBT:ITIC,"{'value': 8.51, 'error': None, 'unit': '%'}","{'value': 0.927, 'error': None, 'unit': 'V'}","{'value': 14.15, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.9, 'error': None, 'unit': '%'}"
PDCBT:ITIC,"{'value': 2.38, 'error': None, 'unit': '%'}","{'value': 0.905, 'error': None, 'unit': 'V'}","{'value': 5.99, 'error': None, 'unit': 'mA/cm2'}","{'value': 43.9, 'error': None, 'unit': '%'}"
PTB7,"{'value': 9.33, 'error': None, 'unit': '%'}","{'value': 1.02, 'error': None, 'unit': 'V'}","{'value': 15.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.0, 'error': None, 'unit': '%'}"
P3HT,"{'value': 5.62, 'error': None, 'unit': '%'}","{'value': 0.91, 'error': None, 'unit': 'V'}","{'value': 10.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 12.02, 'error': None, 'unit': '%'}",,,
CsPbI3,"{'value': 15.91, 'error': None, 'unit': '%'}","{'value': 1.11, 'error': None, 'unit': 'V'}","{'value': 18.31, 'error': None, 'unit': 'mA/cm2'}","{'value': 77.97, 'error': None, 'unit': '%'}"
FAPbI3,"{'value': 25.09, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 86.9, 'error': None, 'unit': '%'}"
TiO2 mesoporous film constructed by CNPs,"{'value': 4.41, 'error': None, 'unit': '%'}","{'value': 0.62, 'error': None, 'unit': 'V'}","{'value': 14.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 49.0, 'error': None, 'unit': '%'}"
DPP(TBFu)2:PC71BM,"{'value': 5.2, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 11.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.00000000000001, 'error': None, 'unit': '%'}"
1.2 μm,"{'value': 2.8, 'error': None, 'unit': '%'}","{'value': 0.737, 'error': None, 'unit': 'V'}","{'value': 6.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
2.2 μm,"{'value': 5.1, 'error': None, 'unit': '%'}","{'value': 0.742, 'error': None, 'unit': 'V'}","{'value': 10.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
3.6 μm,"{'value': 5.1, 'error': None, 'unit': '%'}","{'value': 0.738, 'error': None, 'unit': 'V'}","{'value': 11.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.0, 'error': None, 'unit': '%'}"
4.7 μm,"{'value': 5.9, 'error': None, 'unit': '%'}","{'value': 0.755, 'error': None, 'unit': 'V'}","{'value': 11.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
9.0 μm,"{'value': 6.7, 'error': None, 'unit': '%'}","{'value': 0.749, 'error': None, 'unit': 'V'}","{'value': 13.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.0, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 17.02, 'error': None, 'unit': '%'}","{'value': 1.05, 'error': None, 'unit': 'V'}","{'value': 22.72, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.0, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 16.44, 'error': None, 'unit': '%'}","{'value': 1.05, 'error': None, 'unit': 'V'}","{'value': 20.05, 'error': None, 'unit': 'mA/cm2'}",
Perovskite,"{'value': 11.7, 'error': None, 'unit': '%'}",,,
Perovskite,"{'value': 17.71, 'error': None, 'unit': '%'}",,,
DRCN7T,"{'value': 2.48, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 8.44, 'error': None, 'unit': 'mA/cm2'}","{'value': 36.48, 'error': None, 'unit': '%'}"
2F7T,"{'value': 9.41, 'error': None, 'unit': '%'}","{'value': 0.79, 'error': None, 'unit': 'V'}","{'value': 20.89, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.13, 'error': None, 'unit': '%'}"
2Cl7T,"{'value': 11.45, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 19.69, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.15, 'error': None, 'unit': '%'}"
Formamidinium lead iodide perovskite,"{'value': 20.1, 'error': None, 'unit': '%'}",,,
AgBiS2,"{'value': 5.75, 'error': None, 'unit': '%'}","{'value': 0.51, 'error': None, 'unit': 'V'}","{'value': 17.63, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.0, 'error': None, 'unit': '%'}"
