Absorber Layer,PCE,Voc,Jsc,FF
DA-TiO2/P25,"{'value': 22.94, 'error': None, 'unit': '%'}",,,
CH3NH3PbI3,"{'value': 18.6, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 10.2, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 15.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.6, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 10.6, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 15.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.2, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 5.9, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 11.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 58.9, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 6.6, 'error': None, 'unit': '%'}","{'value': 0.87, 'error': None, 'unit': 'V'}","{'value': 12.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.7, 'error': None, 'unit': '%'}"
PCDTBT,"{'value': 0.53, 'error': None, 'unit': '%'}",,,
Cs5(MA17FA83)95Pb(I83Br17)3 (CsMAFA),"{'value': 20.9, 'error': None, 'unit': '%'}","{'value': 1.188, 'error': None, 'unit': 'V'}","{'value': 21.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 80.2, 'error': None, 'unit': '%'}"
TC-FIC,"{'value': 11.6, 'error': None, 'unit': '%'}",,,
NC-FIC,"{'value': 7.52, 'error': None, 'unit': '%'}",,,
PBDB-T:TC-FIC:PC71BM,"{'value': 13.49, 'error': None, 'unit': '%'}",,,
CH3NH3PbI3,"{'value': 10.3, 'error': None, 'unit': '%'}","{'value': 0.99, 'error': None, 'unit': 'V'}","{'value': 9.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.73, 'error': None, 'unit': '%'}"
SM1,"{'value': 2.74, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 8.62, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.36, 'error': None, 'unit': '%'}"
SM2,"{'value': 3.76, 'error': None, 'unit': '%'}","{'value': 0.84, 'error': None, 'unit': 'V'}","{'value': 11.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.38, 'error': None, 'unit': '%'}"
SM3,"{'value': 3.1, 'error': None, 'unit': '%'}","{'value': 0.93, 'error': None, 'unit': 'V'}","{'value': 10.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.32, 'error': None, 'unit': '%'}"
SM4,"{'value': 2.92, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}","{'value': 9.73, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.33, 'error': None, 'unit': '%'}"
CsPb0.98La0.02I2Br,"{'value': 8.03, 'error': None, 'unit': '%'}","{'value': 1.12, 'error': None, 'unit': 'V'}","{'value': 11.66, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.24, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 5.4, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 13.74, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
N/A,"{'value': 21.18, 'error': None, 'unit': '%'}",,,
Perovskite,"{'value': 14.1, 'error': None, 'unit': '%'}",,,
Silicon,"{'value': 11.2, 'error': None, 'unit': '%'}",,,
Perovskite/Silicon,"{'value': 25.3, 'error': None, 'unit': '%'}",,,
Perovskite,"{'value': 17.1, 'error': None, 'unit': '%'}",,,
Silicon,"{'value': 9.6, 'error': None, 'unit': '%'}",,,
Perovskite/Silicon,"{'value': 26.7, 'error': None, 'unit': '%'}",,,
CdSe_30/400,,,"{'value': 1.9, 'error': None, 'unit': 'mA/cm2'}",
PTB7:PC71BM,"{'value': 8.55, 'error': None, 'unit': '%'}",,"{'value': 18.0, 'error': None, 'unit': 'mA/cm2'}",
PCDTBT,"{'value': 13.1, 'error': None, 'unit': '%'}",,"{'value': 11.73, 'error': None, 'unit': 'mA/cm2'}",
H-HfSeO/MoSe2,"{'value': 4.57, 'error': None, 'unit': '%'}",,,
PM6/BOEH-4Cl,"{'value': 17.4, 'error': None, 'unit': '%'}",,,
PM6/L8-BO,"{'value': 14.5, 'error': None, 'unit': '%'}",,,
BOEH-4Cl,"{'value': 17.4, 'error': None, 'unit': '%'}",,,
TiO2/CdSe I/CdSe II,"{'value': 1.26, 'error': None, 'unit': '%'}","{'value': 0.66, 'error': None, 'unit': 'V'}","{'value': 3.41, 'error': None, 'unit': 'mA/cm2'}","{'value': 55.8, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 5.8, 'error': None, 'unit': '%'}","{'value': 1.08, 'error': None, 'unit': 'V'}","{'value': 7.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.0, 'error': None, 'unit': '%'}"
P3HT:BIBT-NI (1:1.2),"{'value': 1.46, 'error': None, 'unit': '%'}","{'value': 0.82, 'error': None, 'unit': 'V'}","{'value': 4.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.9, 'error': None, 'unit': '%'}"
P3HT:BIBT-NI (1:1.2) (after thermal annealing),"{'value': 2.11, 'error': None, 'unit': '%'}","{'value': 0.77, 'error': None, 'unit': 'V'}","{'value': 6.14, 'error': None, 'unit': 'mA/cm2'}","{'value': 44.2, 'error': None, 'unit': '%'}"
PM6-B10:Y6-BO,"{'value': 17.2, 'error': None, 'unit': '%'}",,,
QA1-3,"{'value': 7.7, 'error': None, 'unit': '%'}","{'value': 0.804, 'error': None, 'unit': 'V'}","{'value': 13.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.0, 'error': None, 'unit': '%'}"
PTB7:PC71BM blend film,"{'value': 8.59, 'error': None, 'unit': '%'}",,"{'value': 18.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.2, 'error': None, 'unit': '%'}"
CH3NH3PbI3−xClx,"{'value': 6.42, 'error': None, 'unit': '%'}","{'value': 0.86, 'error': None, 'unit': 'V'}","{'value': 17.57, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.42, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 22.7, 'error': None, 'unit': '%'}",,,
1a,"{'value': 4.1, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 9.39, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.47, 'error': None, 'unit': '%'}"
1b,"{'value': 2.0, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 6.67, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.32, 'error': None, 'unit': '%'}"
inorganic CsSnI3,"{'value': 8.27, 'error': None, 'unit': '%'}","{'value': 0.52, 'error': None, 'unit': 'V'}","{'value': 22.93, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.4, 'error': None, 'unit': '%'}"
N/A,"{'value': 20.48, 'error': None, 'unit': '%'}","{'value': 1.06, 'error': None, 'unit': 'V'}","{'value': 24.56, 'error': None, 'unit': 'mA/cm2'}","{'value': 78.94, 'error': None, 'unit': '%'}"
PM6:Y6,"{'value': 16.1, 'error': None, 'unit': '%'}","{'value': 0.842, 'error': None, 'unit': 'V'}","{'value': 26.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.1, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 12.78, 'error': None, 'unit': '%'}","{'value': 0.997, 'error': None, 'unit': 'V'}","{'value': 18.83, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.04, 'error': None, 'unit': '%'}"
M1,"{'value': 1.48, 'error': None, 'unit': '%'}","{'value': 0.49, 'error': None, 'unit': 'V'}","{'value': 6.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.46, 'error': None, 'unit': '%'}"
M3,"{'value': 1.99, 'error': None, 'unit': '%'}","{'value': 0.84, 'error': None, 'unit': 'V'}","{'value': 7.67, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.31, 'error': None, 'unit': '%'}"
M2,"{'value': 2.23, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 7.17, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.35, 'error': None, 'unit': '%'}"
M4,"{'value': 3.1, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 9.04, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.35, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 20.58, 'error': None, 'unit': '%'}","{'value': 1.133, 'error': None, 'unit': 'V'}","{'value': 22.83, 'error': None, 'unit': 'mA/cm2'}","{'value': 79.5, 'error': None, 'unit': '%'}"
N719 dye,"{'value': 7.6, 'error': None, 'unit': '%'}","{'value': 0.757, 'error': None, 'unit': 'V'}","{'value': 15.98, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.8, 'error': None, 'unit': '%'}"
PM6:Y18:PC71BM,"{'value': 17.11, 'error': None, 'unit': '%'}","{'value': 0.84, 'error': None, 'unit': 'V'}","{'value': 26.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 77.4, 'error': None, 'unit': '%'}"
α-CsPbI3−xBrx (x < 0.7) perovskite films,"{'value': 14.08, 'error': None, 'unit': '%'}",,,
CsPbI3−xBrx,"{'value': 14.08, 'error': None, 'unit': '%'}","{'value': 1.12, 'error': None, 'unit': 'V'}","{'value': 16.36, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.87, 'error': None, 'unit': '%'}"
PM6:BTP-eC9,"{'value': 15.6, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 25.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.4, 'error': None, 'unit': '%'}"
PM6:BTP-eC9,"{'value': 10.0, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 24.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 52.5, 'error': None, 'unit': '%'}"
PM6:BTP-eC9,"{'value': 17.7, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 26.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 78.3, 'error': None, 'unit': '%'}"
PM6:PB2F:BTP-eC9 (0.8:0.2:1.2),"{'value': 18.1, 'error': None, 'unit': '%'}",,"{'value': 26.1, 'error': None, 'unit': 'mA/cm2'}",
PDFQx-3T:PC71BM,"{'value': 8.0, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 17.19, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.63, 'error': None, 'unit': '%'}"
PBDTTT-C-T,,,"{'value': 2.0, 'error': None, 'unit': ''}",
PTB7-Th:PDIs blend,"{'value': 5.0, 'error': None, 'unit': '%'}",,,
PTB7:PC71BM,"{'value': 5.12, 'error': None, 'unit': '%'}","{'value': 0.679, 'error': None, 'unit': 'V'}","{'value': 13.98, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
PTB7:PC71BM,"{'value': 5.59, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 14.22, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.2, 'error': None, 'unit': '%'}"
PTB7:PC71BM,"{'value': 6.59, 'error': None, 'unit': '%'}","{'value': 0.715, 'error': None, 'unit': 'V'}","{'value': 15.34, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.1, 'error': None, 'unit': '%'}"
PTB7:PC71BM,"{'value': 7.99, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 16.61, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
PTB7:PC71BM,"{'value': 7.87, 'error': None, 'unit': '%'}","{'value': 0.735, 'error': None, 'unit': 'V'}","{'value': 16.43, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.2, 'error': None, 'unit': '%'}"
BTIC-2Cl-γ,"{'value': 15.04, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}","{'value': 23.58, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.98, 'error': None, 'unit': '%'}"
BTIC-2Cl-δ,"{'value': 14.13, 'error': None, 'unit': '%'}",,,
BTIC-2Cl-β,"{'value': 7.39, 'error': None, 'unit': '%'}",,,
2D (BA)2(MA)3Pb4I13 perovskite,"{'value': 12.78, 'error': None, 'unit': '%'}","{'value': 1.04, 'error': None, 'unit': 'V'}","{'value': 18.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.8, 'error': None, 'unit': '%'}"
"PANT, PANT-TBO, PANT-TBT, PANT-TffBT","{'value': 5.21, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 18.7, 'error': None, 'unit': '%'}","{'value': 1.15, 'error': None, 'unit': 'V'}","{'value': 20.89, 'error': None, 'unit': 'mA/cm2'}","{'value': 77.8, 'error': None, 'unit': '%'}"
N/A,"{'value': 5.1, 'error': None, 'unit': '%'}",,,
TQ1:PC70BM blend,"{'value': 5.48, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}","{'value': 10.46, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.2, 'error': None, 'unit': '%'}"
TQ1:PC70BM blend,"{'value': 4.93, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 9.29, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.4, 'error': None, 'unit': '%'}"
TQ1:PC70BM blend,"{'value': 3.71, 'error': None, 'unit': '%'}","{'value': 0.91, 'error': None, 'unit': 'V'}","{'value': 6.54, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.2, 'error': None, 'unit': '%'}"
TQ1:PC70BM blend,"{'value': 2.5, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 4.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.5, 'error': None, 'unit': '%'}"
N/A,"{'value': 16.42, 'error': None, 'unit': '%'}",,,
TiO2–P0,"{'value': 11.8, 'error': None, 'unit': '%'}","{'value': 1.06, 'error': None, 'unit': 'V'}","{'value': 19.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.57, 'error': None, 'unit': '%'}"
TiO2–P0.5,"{'value': 15.4, 'error': None, 'unit': '%'}","{'value': 1.06, 'error': None, 'unit': 'V'}","{'value': 21.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.68, 'error': None, 'unit': '%'}"
TiO2–P1,"{'value': 17.7, 'error': None, 'unit': '%'}","{'value': 1.05, 'error': None, 'unit': 'V'}","{'value': 22.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.74, 'error': None, 'unit': '%'}"
TiO2–P1.5,"{'value': 18.3, 'error': None, 'unit': '%'}","{'value': 1.05, 'error': None, 'unit': 'V'}","{'value': 23.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.76, 'error': None, 'unit': '%'}"
TiO2–P2,"{'value': 17.6, 'error': None, 'unit': '%'}","{'value': 1.02, 'error': None, 'unit': 'V'}","{'value': 22.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.75, 'error': None, 'unit': '%'}"
BA2MA3Pb4I13,"{'value': 9.03, 'error': None, 'unit': '%'}","{'value': 0.986, 'error': None, 'unit': 'V'}","{'value': 17.19, 'error': None, 'unit': 'mA/cm2'}",
(BA)2(MA)2Pb3I10,"{'value': 5.05, 'error': None, 'unit': '%'}","{'value': 0.976, 'error': None, 'unit': 'V'}","{'value': 11.3, 'error': None, 'unit': 'mA/cm2'}",
PM6:Y6,"{'value': 15.75, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
TQ-F,"{'value': 4.41, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}",,
TQ-FF,"{'value': 1.45, 'error': None, 'unit': '%'}","{'value': 1.0, 'error': None, 'unit': 'V'}",,
P(InCzTh2BTD),"{'value': 3.6, 'error': None, 'unit': '%'}","{'value': 0.69, 'error': None, 'unit': 'V'}","{'value': 9.17, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.57, 'error': None, 'unit': '%'}"
(5-AVA)x(MA)1−xPbI3,"{'value': 12.84, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
(5-AVA)0.034MA0.966PbI2.95(BF4)0.05,"{'value': 15.5, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
CH(NH2)2PbI3 (FAPbI3),"{'value': 18.71, 'error': None, 'unit': '%'}",,,
SF-PVK,"{'value': 18.5, 'error': None, 'unit': '%'}","{'value': 1.03, 'error': None, 'unit': 'V'}","{'value': 23.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 75.0, 'error': None, 'unit': '%'}"
RS-PVK,"{'value': 15.9, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 22.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.0, 'error': None, 'unit': '%'}"
(FA0.8MA0.15Cs0.05PbI2.55Br0.45) (DMSO)1.9,"{'value': 14.7, 'error': None, 'unit': '%'}","{'value': 0.97, 'error': 0.01, 'unit': 'V'}","{'value': 21.4, 'error': 2.9, 'unit': 'mA/cm2'}","{'value': 64.4, 'error': 4.5, 'unit': '%'}"
N/A,"{'value': 17.6, 'error': None, 'unit': '%'}",,,
CZTSe and CZTS,"{'value': 4.58, 'error': None, 'unit': '%'}","{'value': 0.718, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': ''}",
8 at% Sm-doped TiO2,"{'value': 6.78, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 14.53, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.63, 'error': None, 'unit': '%'}"
N/A,"{'value': 9.6, 'error': None, 'unit': '%'}","{'value': 0.712, 'error': None, 'unit': 'V'}","{'value': 20.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
CH3NH3PbI3(Cl),"{'value': 12.99, 'error': None, 'unit': '%'}","{'value': 0.998, 'error': None, 'unit': 'V'}","{'value': 19.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.62, 'error': None, 'unit': '%'}"
H4FT6F,"{'value': 0.8, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
ClAlPc,"{'value': 0.45, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 1.3, 'error': None, 'unit': 'mA/cm2'}",
BTC,"{'value': 17.32, 'error': None, 'unit': '%'}","{'value': 0.834, 'error': None, 'unit': 'V'}","{'value': 28.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.51, 'error': None, 'unit': '%'}"
BTC,"{'value': 18.41, 'error': None, 'unit': '%'}",,,
PM6:15 wt% BTC:Y6,"{'value': 17.3, 'error': None, 'unit': '%'}","{'value': 0.895, 'error': None, 'unit': 'V'}","{'value': 26.74, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.23, 'error': None, 'unit': '%'}"
PM6:Y6,"{'value': 15.51, 'error': None, 'unit': '%'}","{'value': 0.824, 'error': None, 'unit': 'V'}","{'value': 26.21, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.63, 'error': None, 'unit': '%'}"
BTC:Y6,"{'value': 7.48, 'error': None, 'unit': '%'}","{'value': 0.795, 'error': None, 'unit': 'V'}","{'value': 18.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 49.74, 'error': None, 'unit': '%'}"
CsPbI2.4Br0.6,"{'value': 15.21, 'error': None, 'unit': '%'}",,,
Perovskite,"{'value': 11.04, 'error': None, 'unit': '%'}","{'value': 0.92, 'error': None, 'unit': 'V'}","{'value': 17.85, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.99999999999999, 'error': None, 'unit': '%'}"
2D/3D CsPbI2Br,"{'value': 16.57, 'error': None, 'unit': '%'}","{'value': 1.28, 'error': None, 'unit': 'V'}","{'value': 15.92, 'error': None, 'unit': 'mA/cm2'}","{'value': 81.35, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 10.22, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 94.0, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 74.0, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 11.45, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 19.79, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 1.49, 'error': None, 'unit': '%'}","{'value': 0.84, 'error': None, 'unit': 'V'}","{'value': 3.28, 'error': None, 'unit': 'mA/cm2'}","{'value': 53.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 10.34, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 11.92, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 12.41, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 18.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 10.25, 'error': None, 'unit': '%'}","{'value': 0.93, 'error': None, 'unit': 'V'}","{'value': 18.64, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 11.92, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 19.19, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
MAPbI3,,,"{'value': 2.0, 'error': None, 'unit': ''}",
N/A,"{'value': 3.32, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
PM6:BDDTTIC,"{'value': 3.72, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 8.93, 'error': None, 'unit': 'mA/cm2'}","{'value': 44.0, 'error': None, 'unit': '%'}"
PM6:BDDTTIC-4F,"{'value': 5.62, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 9.47, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.44, 'error': None, 'unit': '%'}"
FAPbI3,"{'value': 22.64, 'error': None, 'unit': '%'}",,,
MABr–FAPbI3,"{'value': 22.16, 'error': None, 'unit': '%'}","{'value': 1.14, 'error': None, 'unit': 'V'}","{'value': 25.26, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.94, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 20.03, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 20.03, 'error': None, 'unit': '%'}","{'value': 1.08, 'error': None, 'unit': 'V'}","{'value': 22.27, 'error': None, 'unit': 'mA/cm2'}","{'value': 83.3, 'error': None, 'unit': '%'}"
PTB7-Th:Cu2S NCs:PCBM,"{'value': 8.2, 'error': None, 'unit': '%'}","{'value': 0.803, 'error': None, 'unit': 'V'}","{'value': 15.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.1, 'error': None, 'unit': '%'}"
N/A,"{'value': 3.84, 'error': None, 'unit': '%'}","{'value': 0.67, 'error': None, 'unit': 'V'}",,
AR-II-13,,"{'value': 0.05, 'error': None, 'unit': 'V'}","{'value': 2.7, 'error': None, 'unit': 'mA/cm2'}",
TiO2,"{'value': 4.9, 'error': None, 'unit': '%'}","{'value': 0.681, 'error': None, 'unit': 'V'}","{'value': 10.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.1, 'error': None, 'unit': '%'}"
TiO2,"{'value': 6.6, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 12.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.2, 'error': None, 'unit': '%'}"
TiO2,"{'value': 5.1, 'error': None, 'unit': '%'}","{'value': 0.68, 'error': None, 'unit': 'V'}","{'value': 10.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.1, 'error': None, 'unit': '%'}"
TiO2,"{'value': 6.2, 'error': None, 'unit': '%'}","{'value': 0.715, 'error': None, 'unit': 'V'}","{'value': 12.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.0, 'error': None, 'unit': '%'}"
TiO2,"{'value': 6.6, 'error': None, 'unit': '%'}","{'value': 0.723, 'error': None, 'unit': 'V'}","{'value': 12.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.5, 'error': None, 'unit': '%'}"
TiO2,"{'value': 4.7, 'error': None, 'unit': '%'}","{'value': 0.671, 'error': None, 'unit': 'V'}","{'value': 9.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.2, 'error': None, 'unit': '%'}"
N/A,"{'value': 12.38, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 17.85, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.0, 'error': None, 'unit': '%'}"
PM6:Y6:FINIC,"{'value': 17.8, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
BiV0.98Mo0.02O4/FTO,,"{'value': 0.8, 'error': None, 'unit': 'V'}",,
CH3NH3PbI3,"{'value': 13.1, 'error': None, 'unit': '%'}","{'value': 0.976, 'error': None, 'unit': 'V'}","{'value': 20.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 16.1, 'error': None, 'unit': '%'}",,,
Metal halide perovskites (MHPs),"{'value': 22.8, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
ISB-ZnP,"{'value': 2.55, 'error': None, 'unit': '%'}","{'value': 0.64, 'error': None, 'unit': 'V'}","{'value': 5.92, 'error': None, 'unit': 'mA/cm2'}",
IDB-ZnP,"{'value': 3.62, 'error': None, 'unit': '%'}","{'value': 0.67, 'error': None, 'unit': 'V'}","{'value': 6.93, 'error': None, 'unit': 'mA/cm2'}","{'value': 78.0, 'error': None, 'unit': '%'}"
LW4,"{'value': 9.53, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 17.65, 'error': None, 'unit': 'mA/cm2'}",
Lead halide perovskite,"{'value': 12.8, 'error': None, 'unit': '%'}",,,
PTB7:PC71BM,"{'value': 5.57, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 15.36, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
Pb5Sb8S17,"{'value': 5.54, 'error': None, 'unit': '%'}",,"{'value': 14.09, 'error': None, 'unit': 'mA/cm2'}",
Pb5Sb8S17,"{'value': 3.71, 'error': None, 'unit': '%'}",,,
Cl-AlPc,"{'value': 1.23, 'error': None, 'unit': '%'}","{'value': 0.67, 'error': None, 'unit': 'V'}","{'value': 3.85, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.0, 'error': None, 'unit': '%'}"
F5PhO-AlPc,"{'value': 1.06, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 2.97, 'error': None, 'unit': 'mA/cm2'}","{'value': 44.0, 'error': None, 'unit': '%'}"
