,Absorber Layer,PCE_value,PCE_error,Voc_value,Voc_error,Jsc_value,Jsc_error,FF_value,FF_error
655,HFQx-T:ITTC,10.4,,0.88,,16.49,,71.0,"(71.0, None)"
656,N/A,9.4,,0.78,,18.12,,66.5,"(66.5, None)"
657,BT6OT:PC71BM blend film,5.05,,0.88,,9.94,,59.1,"(59.1, None)"
658,N/A,13.7,,0.9,,23.0,,66.0,"(66.0, None)"
659,PSBT:PC71BM,5.18,,0.94,,11.11,,49.6,"(49.6, None)"
660,PSBO:PC71BM,3.29,,0.96,,8.6,,40.1,"(40.1, None)"
661,PSDTBT:PC71BM,3.52,,0.9,,9.5,,41.3,"(41.3, None)"
662,PTB7:PCBM,9.77,,0.73,,18.28,,73.36,"(73.36, None)"
663,PBDB-T-SF:IT-4F,12.34,,0.83,,20.09,,71.0,"(71.0, None)"
664,Unknown,6.84,,0.78,,18.57,,43.0,"(43.0, None)"
665,Triple cation perovskite,20.9,,1.121,,24.0,,80.0,"(80.0, None)"
666,Marangoni-assisted,14.2,,0.92,,21.5,,72.0,"(72.0, None)"
667,P3HT/ZnPc,10.03,,1.578,,7.652,,83.06,"(83.06, None)"
668,N/A,16.7,,0.62,,38.7,,69.6,"(69.6, None)"
669,"Zn2,3TDHPP",0.6,,0.449,,2.1,,62.0,"(62.0, None)"
670,PdMe2Pc,16.28,,1.06,,21.08,,73.0,"(73.0, None)"
671,CuMe2Pc,15.58,,1.01,,21.46,,72.0,"(72.0, None)"
672,SJ-IC,9.27,,0.83,,16.99,,65.95,"(65.95, None)"
673,IDT-IC,6.95,,0.88,,13.7,,57.3,"(57.3, None)"
674,TQ1:PC71BM,7.08,,0.91,,12.2,,64.0,"(64.0, None)"
675,P4TSe,2.6,,0.83,,8.1,,39.0,"(39.0, None)"
676,P4T2T,2.44,,0.85,,7.84,,37.0,"(37.0, None)"
677,P4TT,1.51,,0.7,,6.21,,35.0,"(35.0, None)"
678,DCN-T1-QA,0.22,,0.44,,1.4,,35.0,"(35.0, None)"
679,DCN-T2-QA,0.51,,0.46,,2.8,,40.0,"(40.0, None)"
680,DCN-T3-QA,0.24,,0.44,,1.4,,35.0,"(35.0, None)"
681,P3HT/PCBM,2.75,,0.54,,8.45,,60.0,"(60.0, None)"
682,ITFBT,4.57,,0.98,,10.24,,45.6,"(45.6, None)"
683,IT2FBT,1.92,,1.01,,6.25,,30.5,"(30.5, None)"
684,IT3T,0.71,,0.753,,3.29,,28.6,"(28.6, None)"
685,PTCT,1.09,,0.75,,3.71,,38.46,"(38.46, None)"
686,BT-based copolymer,4.76,,0.74,,10.54,,61.0,"(61.0, None)"
687,organic/amorphous silicon (a-Si) hybrid,7.46,,1.51,,6.73,,72.3,"(72.3, None)"
688,2'-hydroxychalcone derivatives,1.13,,0.57,,4.8,,35.0,"(35.0, None)"
689,P1,7.14,,0.88,,15.2,,63.0,"(63.0, None)"
690,CH3NH3PbI3−xClx,12.6,,0.928,,21.0,,74.2,"(74.2, None)"
691,CH3NH3PbI3−xClx,16.8,,1.027,,22.0,,74.2,"(74.2, None)"
692,N/A,8.28,,0.734,,16.5,,68.4,"(68.4, None)"
693,Spiro-OMeTAD,19.24,,1.16,,22.63,,73.01,"(73.01, None)"
694,Sb2Se3,7.63,,0.386,,35.2,,56.1,"(56.1, None)"
695,P-CdSe with ZnS,1.02,,0.51,,5.85,,25.0,"(25.0, None)"
696,CdSe-sensitized,1.17,,0.6,,3.15,,51.0,"(51.0, None)"
697,CdSe/CdS/ZnO,2.41,,0.6,,13.5,,30.0,"(30.0, None)"
698,MWCNT@PANI-SH@QD,2.58,,0.6,,8.41,,47.0,"(47.0, None)"
699,CdSe nanoparticle,1.25,,0.37,,12.95,,26.0,"(26.0, None)"
700,D18:Y6,16.0,,0.87,,25.2,,73.6,"(73.6, None)"
701,MAPbBr3 SC,7.11,,1.31,,8.77,,62.0,"(62.0, None)"
702,TP2A,4.26,,0.526,,11.4,,71.0,"(71.0, None)"
703,T′2P2A,6.06,,0.536,,16.1,,70.19999999999999,"(70.19999999999999, None)"
704,TP2A + T′2P2A,6.76,,0.556,,17.8,,68.30000000000001,"(68.30000000000001, None)"
705,M1,3.58,,0.82,,7.06,,61.7,"(61.7, None)"
706,M2,3.06,,0.74,,6.65,,62.3,"(62.3, None)"
707,M3,2.52,,0.67,,6.45,,58.4,"(58.4, None)"
708,M4,0.91,,0.78,,2.76,,42.0,"(42.0, None)"
709,N-doped TiO2-CuxO core-shell hybrids,4.57,,0.66,,13.24,,52.26,"(52.26, None)"
710,Reference,2.74,,0.61,,8.94,,50.0,"(50.0, None)"
711,A–A 4 mg mL−1,2.78,,0.61,,8.15,,56.0,"(56.0, None)"
712,D–A 2 mg mL−1,2.91,,0.62,,8.9,,53.0,"(53.0, None)"
713,BTTT-2Cl,7.1,,0.77,,11.0,,60.0,"(60.0, None)"
714,PEDOT:PSS,11.98,,0.86,,20.32,,68.53,"(68.53, None)"
715,PDA:PEDOT:LS,12.05,,1.02,,18.19,,65.14,"(65.14, None)"
716,PTB7-Th:PC71BM,10.06,,0.78,,17.54,,71.0,"(71.0, None)"
717,CsPbI3,17.41,,1.11,,19.69,,79.62,"(79.62, None)"
718,CsPbI3,17.9,,0.997,,21.07,,85.21,"(85.21, None)"
719,CsPbI3,17.91,,0.997,,21.08,,85.24,"(85.24, None)"
720,CsPbI3,17.93,,0.997,,21.1,,85.24,"(85.24, None)"
721,CIGS,15.09,,1.45,,14.05,,74.2,"(74.2, None)"
722,CIGS,12.21,,1.22,,13.9,,72.3,"(72.3, None)"
723,CIGS-I,10.46,,1.14,,13.58,,67.3,"(67.3, None)"
724,CIGS-II,12.45,,1.24,,14.21,,73.4,"(73.4, None)"
725,CIGS,12.35,,1.43,,14.1,,61.5,"(61.5, None)"
726,GGC,7.63,,1.85,,4.99,,82.6,"(82.6, None)"
727,GGC,5.66,,1.8,,3.77,,83.3,"(83.3, None)"
728,GGC,4.78,,1.86,,3.08,,83.6,"(83.6, None)"
729,a-Si:H,8.31,,1.45,,10.61,,54.6,"(54.6, None)"
730,CA2,6.57,,0.59,,17.27,,65.0,"(65.0, None)"
731,CA3,5.84,,0.57,,15.45,,66.0,"(66.0, None)"
732,DTI,1.6,,0.58,,4.87,,56.99999999999999,"(56.99999999999999, None)"
733,CH3NH3PbI3,12.95,,0.89,,22.57,,64.5,"(64.5, None)"
734,2D-PBTCl,8.81,,0.91,,15.79,,61.32,"(61.32, None)"
735,2D-PBTCl2,7.38,,0.87,,14.52,,58.43,"(58.43, None)"
736,PTB7-Th,6.91,,0.82,,14.76,,57.09,"(57.09, None)"
737,sNP@NTs 11 + 2,10.0,,0.745,,19.8,,67.80000000000001,"(67.80000000000001, None)"
738,PTN,11.44,,0.78,,21.47,,68.31,"(68.31, None)"
739,SMPV1,7.04,,0.89,,12.55,,63.03,"(63.03, None)"
740,THF,6.52,,0.85,,12.11,,63.34,"(63.34, None)"
741,CS2,5.63,,0.84,,11.15,,60.11,"(60.11, None)"
742,Hexane,5.56,,0.94,,11.48,,51.52,"(51.52, None)"
743,BDTSTNTTR,11.53,,0.93,,16.21,,76.5,"(76.5, None)"
744,BTP-4F-12,16.1,,0.853,,25.2,,75.0,"(75.0, None)"
745,PC61BO12,2.05,,0.76,,5.08,,53.0,"(53.0, None)"
746,DIBC,12.17,,0.77,,20.68,,74.37,"(74.37, None)"
747,Spiro-OMeTAD,19.88,,1.12,,23.3,,76.0,"(76.0, None)"
748,70a,8.21,,0.86,,15.2,,68.0,"(68.0, None)"
749,70b,7.89,,0.87,,14.8,,67.0,"(67.0, None)"
750,71,9.12,,0.88,,16.5,,71.0,"(71.0, None)"
751,72,8.76,,0.89,,15.8,,69.0,"(69.0, None)"
752,73,8.98,,0.9,,16.2,,70.0,"(70.0, None)"
753,74,9.34,,0.91,,16.9,,72.0,"(72.0, None)"
754,75,9.67,,0.92,,17.4,,74.0,"(74.0, None)"
755,76,9.89,,0.93,,17.8,,75.0,"(75.0, None)"
756,77a,10.12,,0.94,,18.3,,77.0,"(77.0, None)"
757,77b,10.34,,0.95,,18.7,,78.0,"(78.0, None)"
758,PTzBI:N2200HW,8.72,,0.86,,15.97,,63.47,"(63.47, None)"
759,PTzBI:N2200HW (after film aging),9.16,,0.844,,15.48,,70.1,"(70.1, None)"
760,"Sb2(S,Se)3",5.61,,0.646,,16.04,,50.47,"(50.47, None)"
761,"Sb2(S,Se)3",5.35,,0.63,,15.95,,53.17,"(53.17, None)"
762,"Sb2(S,Se)3",4.35,,0.637,,15.47,,44.12,"(44.12, None)"
763,"Sb2(S,Se)3",5.26,,0.626,,15.63,,53.72,"(53.72, None)"
764,CsPbI2Br,15.0,,1.07,,14.5,,80.0,"(80.0, None)"
765,Hybrid ZnO NF + TiO2 NB,20.27,,1.15,,22.91,,77.0,"(77.0, None)"
766,PbS quantum dots (QDs) and P3HT:PCBM blend,1.8,,0.89,,3.9,,53.0,"(53.0, None)"
767,1.2:1.5,9.48,,0.718,,20.59,,64.0,"(64.0, None)"
768,1.0:1.5,9.19,,0.713,,19.76,,65.5,"(65.5, None)"
769,0.8:1.5,9.06,,0.709,,18.81,,67.8,"(67.8, None)"
770,Control,18.5,,1.07,,22.7,,76.0,"(76.0, None)"
771,BABr (S),20.3,,1.14,,22.9,,78.0,"(78.0, None)"
772,BABr (V),21.4,,1.16,,23.0,,80.0,"(80.0, None)"
773,Perovskite,13.6,,0.99,,20.04,,69.0,"(69.0, None)"
774,Perovskite,8.11,,0.856,,16.31,,58.08,"(58.08, None)"
775,CAZTSSe-based,10.45,,0.451,,36.34,,63.73,"(63.73, None)"
776,CAZTSSe-based,11.81,,0.478,,37.89,,65.23,"(65.23, None)"
777,100:0 PCBM:PNDI-2T,17.8,,1.11,,20.9,,78.4,"(78.4, None)"
778,75:25 PCBM:PNDI-2T,18.4,,1.11,,20.9,,79.3,"(79.3, None)"
779,50:50 PCBM:PNDI-2T,16.8,,1.08,,20.7,,75.0,"(75.0, None)"
780,25:75 PCBM:PNDI-2T,15.4,,1.03,,20.3,,73.8,"(73.8, None)"
781,CsPb0,5.93,,1.31,,7.42,,60.0,"(60.0, None)"
782,CsPb0.95Sn0.05Br3,8.04,,1.36,,8.57,,69.0,"(69.0, None)"
783,BOPHY-1,1.5,,0.63,,5.5,,43.0,"(43.0, None)"
784,BOPHY-2,4.3,,0.7,,10.9,,57.0,"(57.0, None)"
785,PEDOT,3.6,,0.6,,9.23,,65.0,"(65.0, None)"
786,PEDOT,3.7,,0.6,,9.39,,66.0,"(66.0, None)"
787,SPDPA,3.5,,0.6,,8.96,,65.0,"(65.0, None)"
788,SPDPA,3.9,,0.58,,10.21,,66.0,"(66.0, None)"
789,SPDPA,4.2,,0.6,,10.33,,68.0,"(68.0, None)"
790,N/A,5.1,,0.66,,11.9,,68.0,"(68.0, None)"
791,P25,5.5,,0.67,,12.64,,65.0,"(65.0, None)"
792,HNT,5.08,,0.73,,10.83,,64.0,"(64.0, None)"
793,HNT–P25,7.24,,0.71,,16.49,,62.0,"(62.0, None)"
794,PTOBDTTQ1,2.66,,0.76,,7.49,,47.0,"(47.0, None)"
795,PTOBDTTQ2,4.24,,0.83,,9.4,,54.0,"(54.0, None)"
796,CsGeI3,4.94,,0.51,,18.78,,51.0,"(51.0, None)"
797,CsGeBr3,4.92,,0.48,,19.49,,52.0,"(52.0, None)"
798,CsGeCl3,2.57,,0.35,,18.57,,40.0,"(40.0, None)"
799,P2,7.71,,0.9,,11.91,,63.44,"(63.44, None)"
800,reg-PDPP/TPDalt2T,5.3,,0.78,,9.95,,68.0,"(68.0, None)"
801,Cz-RH,2.56,,1.03,,4.69,,53.0,"(53.0, None)"
802,Flu-RH,3.08,,1.03,,5.7,,52.0,"(52.0, None)"
803,F(DPP)2B2,3.17,,1.18,,5.35,,50.0,"(50.0, None)"
804,FBR,4.11,,0.82,,7.95,,63.0,"(63.0, None)"
805,DICTF,7.93,,0.86,,16.61,,56.00000000000001,"(56.00000000000001, None)"
806,FDICTF,10.06,,0.95,,16.09,,67.0,"(67.0, None)"
807,CBM,5.3,,0.88,,10.6,,53.0,"(53.0, None)"
808,SF-OR,4.7,,0.97,,7.5,,65.0,"(65.0, None)"
809,H1,5.4,,1.17,,7.74,,60.0,"(60.0, None)"
810,P(NDI2OD-T2),8.27,,0.83,,14.18,,70.0,"(70.0, None)"
811,P(NDI2HD-T2),6.11,,0.82,,13.97,,53.0,"(53.0, None)"
812,P(NDI2TOD-T2),4.75,,0.77,,11.4,,54.0,"(54.0, None)"
813,P(NDI2DT-FT2),6.71,,0.81,,13.53,,62.0,"(62.0, None)"
814,P(NDI2HD-T),6.64,,0.89,,11.22,,56.00000000000001,"(56.00000000000001, None)"
815,HxMoO3−y,12.5,,0.93,,21.7,,61.0,"(61.0, None)"
816,HxMoO3−y,14.3,,0.96,,22.5,,66.0,"(66.0, None)"
817,PbS/CdS,2.23,,0.318,,17.38,,40.21,"(40.21, None)"
818,CsPbBr3 QD,7.04,,1.59,,5.93,,74.7,"(74.7, None)"
819,CH3NH3PbI3−x(SCN)x,11.07,,1.05,,15.51,,68.0,"(68.0, None)"
820,P-o-DFBT,10.0,,0.84,,18.25,,65.45,"(65.45, None)"
821,P-i-DFBT,6.67,,0.89,,14.15,,51.61,"(51.61, None)"
822,P-o-NT,9.95,,0.83,,17.66,,66.76,"(66.76, None)"
823,P-i-NT,6.34,,0.83,,16.33,,46.19,"(46.19, None)"
824,CsPbBr3/Ti3C2-MXene,7.85,,1.371,,8.22,,69.62,"(69.62, None)"
825,CsPbBr3,7.11,,1.387,,7.1,,72.18,"(72.18, None)"
826,PTB7:PC70BM,8.01,,0.75,,15.5,,68.9,"(68.9, None)"
827,PTB7 or PTB7-Th,9.24,,0.81,,16.49,,69.37,"(69.37, None)"
828,P2T,15.18,,0.98,,23.62,,65.0,"(65.0, None)"
829,P2T-Cl,15.4,,0.96,,23.81,,67.0,"(67.0, None)"
830,PTAA,12.74,,0.94,,23.76,,56.0,"(56.0, None)"
831,SF-PDI2,7.61,,0.92,,19.03,,54.05,"(54.05, None)"
832,SF-PDI2,17.04,,1.06,,23.25,,69.62,"(69.62, None)"
833,CZTSSe,10.3,,0.5312,,29.96,,64.7,"(64.7, None)"
834,MAPbClxI3−x,10.9,,0.85,,20.2,,63.3,"(63.3, None)"
835,MAPbClxI3−x,14.6,,0.96,,22.3,,68.30000000000001,"(68.30000000000001, None)"
836,TiO2,9.59,,0.747,,18.67,,68.8,"(68.8, None)"
837,TiO2 with 5 nm Au NPs,10.8,,0.797,,19.4,,69.8,"(69.8, None)"
838,TiO2 with 45 nm Au NPs,10.52,,0.764,,20.11,,68.5,"(68.5, None)"
839,TiO2 with 110 nm Au NPs,10.2,,0.753,,19.89,,68.10000000000001,"(68.10000000000001, None)"
840,PDI-C9,0.182,,0.36,,1.32,,38.0,"(38.0, None)"
841,5-PDI,0.073,,0.63,,0.21,,21.0,"(21.0, None)"
842,PDI-BI,0.061,,0.37,,0.47,,35.0,"(35.0, None)"
843,PDI-CN,0.005,,0.13,,0.12,,30.0,"(30.0, None)"
844,sym-HTPcH (neat),4.21,,0.796,,8.13,,65.7,"(65.7, None)"
845,sym-HTPcH (Al2O3),12.8,,0.988,,17.2,,74.0,"(74.0, None)"
846,spiro-OMeTAD,15.7,,1.02,,20.3,,74.0,"(74.0, None)"
847,3D seed grain,11.28,,0.9,,17.21,,72.7,"(72.7, None)"
848,2D/3D with DMF,16.01,,1.02,,19.52,,80.2,"(80.2, None)"
849,2D/3D without DMF,13.34,,1.04,,16.88,,76.3,"(76.3, None)"
850,Regular 3D,15.61,,0.97,,20.43,,78.3,"(78.3, None)"
851,PM7/ITC6-IC (1:1),5.85,,1.02,,11.83,,48.5,"(48.5, None)"
852,PM7/IT-4F (1:1),10.24,,0.88,,18.27,,63.69,"(63.69, None)"
853,PM7/ITC6-4F (1:1.25),12.1,,0.96,,19.7,,63.97,"(63.97, None)"
854,PM7/ITC6-4F (1:1.25) with 0.5% CN&DIO additive and thermal annealing at 150 °C for 5 min,14.47,,0.9,,21.64,,74.31,"(74.31, None)"
855,PDTS-DTffBT/PC71BM,5.26,,0.72,,10.85,,48.0,"(48.0, None)"
856,Not provided,17.75,,1.09,,20.76,,74.53,"(74.53, None)"
857,5-NiCo2O4,19.24,,1.02,,24.31,,77.89,"(77.89, None)"
858,TiO2/CdS/Au/MoO3-nS2−/Sn2− gel-In2S3/NiO/C-fabric,7.987,,0.785,,17.99,,56.54,"(56.54, None)"
859,NiO/In2S3,0.047,,0.182,,0.84,,30.53,"(30.53, None)"
860,CsPbI2Br,13.3,,1.12,,15.6,,76.1,"(76.1, None)"
861,NGFs,7.32,,0.736,,14.7,,67.7,"(67.7, None)"
862,C2,7.28,,0.85,,15.62,,54.0,"(54.0, None)"
863,C4,8.93,,0.87,,18.43,,56.00000000000001,"(56.00000000000001, None)"
864,C6,10.16,,0.89,,20.12,,56.99999999999999,"(56.99999999999999, None)"
865,PQCTQx,2.3,,0.83,,5.3,,51.1,"(51.1, None)"
866,PQCTPz,1.8,,0.89,,3.8,,51.8,"(51.8, None)"
867,P3HT:CdSe,1.48,,0.72,,4.4,,47.0,"(47.0, None)"
868,perovskite/PCBM heterojunction,0.98,,0.53,,4.44,,41.64,"(41.64, None)"
869,PNB-4,5.3,,0.64,,13.5,,62.0,"(62.0, None)"
870,(3PS)2-SiPc,4.3,,0.79,,8.9,,61.0,"(61.0, None)"
871,2C,5.87,,0.767,,11.47,,67.0,"(67.0, None)"
872,3C,6.33,,0.796,,11.67,,68.0,"(68.0, None)"
873,4C,6.16,,0.792,,11.46,,68.0,"(68.0, None)"
874,CZTS,8.7,,0.691,,20.2,,62.9,"(62.9, None)"
875,PffBT4T-2OD,6.62,,0.781,,17.79,,64.98,"(64.98, None)"
876,PTB7-Th:ITVfIC,8.21,,0.734,,17.24,,61.65,"(61.65, None)"
877,PTB7-Th:ITVfIC,7.46,,0.734,,17.24,,58.97,"(58.97, None)"
878,PBDB-T:ITIC,7.14,,0.898,,14.11,,56.7,"(56.7, None)"
879,PBDB-T:ITIC,5.86,,0.835,,14.82,,47.4,"(47.4, None)"
880,PTB7-Th:NCBDT,8.92,,0.781,,17.39,,65.6,"(65.6, None)"
881,PTB7-Th:NCBDT,8.27,,0.759,,17.37,,62.8,"(62.8, None)"
882,PDCBT:NCBDT,6.91,,0.872,,12.91,,61.3,"(61.3, None)"
883,PDCBT:NCBDT,3.28,,0.873,,8.39,,44.7,"(44.7, None)"
884,PDCBT:ITIC,8.51,,0.927,,14.15,,64.9,"(64.9, None)"
885,PDCBT:ITIC,2.38,,0.905,,5.99,,43.9,"(43.9, None)"
886,PTB7,9.33,,1.02,,15.2,,61.0,"(61.0, None)"
887,P3HT,5.62,,0.91,,10.2,,60.0,"(60.0, None)"
888,CsPbI3,15.91,,1.11,,18.31,,77.97,"(77.97, None)"
889,TiO2 mesoporous film constructed by CNPs,4.41,,0.62,,14.4,,49.0,"(49.0, None)"
890,DPP(TBFu)2:PC71BM,5.2,,0.8,,11.0,,56.00000000000001,"(56.00000000000001, None)"
891,1.2 μm,2.8,,0.737,,6.6,,65.0,"(65.0, None)"
892,2.2 μm,5.1,,0.742,,10.1,,68.0,"(68.0, None)"
893,3.6 μm,5.1,,0.738,,11.4,,61.0,"(61.0, None)"
894,4.7 μm,5.9,,0.755,,11.8,,66.0,"(66.0, None)"
895,9.0 μm,6.7,,0.749,,13.0,,69.0,"(69.0, None)"
896,Perovskite,17.02,,1.05,,22.72,,71.0,"(71.0, None)"
897,DRCN7T,2.48,,0.76,,8.44,,36.48,"(36.48, None)"
898,2F7T,9.41,,0.79,,20.89,,54.13,"(54.13, None)"
899,2Cl7T,11.45,,0.83,,19.69,,68.15,"(68.15, None)"
900,AgBiS2,5.75,,0.51,,17.63,,64.0,"(64.0, None)"
901,AgBiS2,5.71,,0.51,,18.03,,62.0,"(62.0, None)"
902,PbS,5.24,,0.47,,17.58,,63.0,"(63.0, None)"
903,PbS,3.58,,0.45,,16.92,,46.0,"(46.0, None)"
904,Sb2S3,1.18,,0.3,,9.34,,42.0,"(42.0, None)"
905,N/A,0.41,,0.444,,1.93,,47.9,"(47.9, None)"
906,Sb2S3,0.56,,0.265,,6.46,,32.9,"(32.9, None)"
907,NOC6F-1 and NOC6F-2,6.74,,0.96,,13.21,,53.26,"(53.26, None)"
908,dibenzo-BODIPY-incorporating phenothiazine dye,7.69,,0.72,,19.09,,56.00000000000001,"(56.00000000000001, None)"
909,SM1:PC61BM,1.01,,0.73,,3.13,,44.0,"(44.0, None)"
910,SM2:PC61BM,0.41,,0.7,,1.51,,39.0,"(39.0, None)"
911,SM3:PC61BM,0.54,,0.68,,2.97,,27.0,"(27.0, None)"
912,SM4:PC61BM,0.31,,0.69,,1.53,,28.999999999999996,"(28.999999999999996, None)"
913,n-Sn0.86Co0.04O2/p-Cu2O nanostructures,1.2,,2.325,,1.426,,36.0,"(36.0, None)"
914,PCBM/BCP,16.57,,1.027,,21.05,,77.0,"(77.0, None)"
915,Tr-PDI3/BCP,17.45,,1.032,,21.47,,79.0,"(79.0, None)"
916,Tr-PDI3-C/BCP,16.9,,1.047,,20.92,,77.0,"(77.0, None)"
917,C60/BCP,17.53,,1.068,,21.18,,78.0,"(78.0, None)"
918,Tr-PDI3/C60/BCP,19.83,,1.081,,22.22,,83.0,"(83.0, None)"
919,Tr-PDI3-C/C60/BCP,19.24,,1.086,,21.97,,81.0,"(81.0, None)"
920,Bi2Se3,5.52,,0.65,,15.67,,54.0,"(54.0, None)"
921,Bi2Se3,4.47,,0.59,,11.57,,65.0,"(65.0, None)"
922,PIDTV-ffBT:PC71BM,7.3,,0.7,,17.1,,61.0,"(61.0, None)"
923,PIDTV-ffBT:PC71BM,7.3,,0.73,,17.1,,61.0,"(61.0, None)"
924,GQD-NO,7.43,,0.9,,11.48,,71.9,"(71.9, None)"
925,FASnI3,30.12,,1.26,,26.61,,89.92,"(89.92, None)"
926,PHBTRU and PFBTRU,2.66,,0.73,,7.12,,51.0,"(51.0, None)"
927,PHBTRU and PFBTRU,1.99,,0.67,,6.17,,48.0,"(48.0, None)"
928,Sb2S3,3.6,,0.614,,12.5,,46.0,"(46.0, None)"
929,Sb2S3,3.9,,0.612,,13.8,,46.0,"(46.0, None)"
930,DCAE7T-F1,2.26,,0.83,,5.55,,50.0,"(50.0, None)"
931,PTB7,9.54,,0.746,,18.86,,67.8,"(67.8, None)"
932,EA-perovskite film,15.58,,1.024,,19.96,,71.3,"(71.3, None)"
933,EA-perovskite film (annealed),15.83,,1.058,,20.27,,73.81,"(73.81, None)"
934,PBDB-T:PG1,11.5,,0.94,,17.8,,69.0,"(69.0, None)"
935,Control,16.6,,1.04,,21.8,,73.4,"(73.4, None)"
936,SCOE-based,18.95,,1.06,,23.7,,75.53,"(75.53, None)"
937,CdSe QDs:PCPDTBT,1.17,,0.614,,6.89,,27.6,"(27.6, None)"
938,DTTz-DTBTT,1.64,,0.66,,5.11,,48.0,"(48.0, None)"
939,"(Pb,Cd)S",0.32,,0.49,,1.79,,36.0,"(36.0, None)"
940,PCBM,10.7,,0.8,,22.0,,61.0,"(61.0, None)"
941,P2Se4TTT,1.18,,0.65,,4.49,,30.5,"(30.5, None)"
942,N/A,16.61,,0.89,,27.02,,71.14,"(71.14, None)"
943,P(PDI-BDT-T),4.71,,0.8,,11.51,,51.1,"(51.1, None)"
944,P(PDI-BDT-O),2.75,,0.72,,10.14,,37.6,"(37.6, None)"
945,36:PC61BM,5.44,,0.93,,9.77,,59.9,"(59.9, None)"
946,37:PC61BM,4.56,,0.95,,8.0,,60.0,"(60.0, None)"
947,38:PC71BM,6.92,,0.93,,11.4,,65.3,"(65.3, None)"
948,39:PC71BM,4.34,,0.98,,8.52,,52.0,"(52.0, None)"
949,40:PC71BM,9.95,,0.92,,14.61,,74.0,"(74.0, None)"
950,13:PC71BM,6.15,,0.85,,10.79,,67.1,"(67.1, None)"
951,14:PC61BM,6.1,,0.92,,13.98,,47.4,"(47.4, None)"
952,20:PC71BM,9.3,,0.91,,14.87,,68.7,"(68.7, None)"
953,45:PC71BM,4.15,,0.91,,9.47,,48.199999999999996,"(48.199999999999996, None)"
954,46:PC71BM,5.67,,1.03,,10.07,,54.7,"(54.7, None)"
955,47:PC71BM,5.11,,0.92,,8.58,,64.8,"(64.8, None)"
956,48:PC71BM,6.75,,0.92,,11.05,,66.4,"(66.4, None)"
957,49:PC61BM,2.13,,0.91,,5.17,,46.0,"(46.0, None)"
958,50:PC61BM,5.42,,0.9,,8.6,,66.0,"(66.0, None)"
959,51:PC61BM,7.93,,0.95,,11.86,,70.0,"(70.0, None)"
960,52/PC61BM,4.16,,0.88,,6.3,,75.0,"(75.0, None)"
961,53:PC71BM,5.26,,0.94,,5.26,,70.0,"(70.0, None)"
962,54:PC71BM,5.64,,0.87,,9.94,,65.0,"(65.0, None)"
963,55:PC71BM,2.98,,0.88,,6.32,,53.6,"(53.6, None)"
964,56:PC71BM,5.05,,0.86,,9.94,,59.099999999999994,"(59.099999999999994, None)"
965,57:PC61BM,5.84,,0.96,,10.32,,59.0,"(59.0, None)"
966,58:PC61BM,5.03,,0.97,,8.67,,60.0,"(60.0, None)"
967,59:PC61BM,5.31,,0.97,,8.91,,59.0,"(59.0, None)"
968,PTICThBT:PC71BM,2.62,,0.84,,8.54,,36.0,"(36.0, None)"
969,PTICThBT:PC71BM,1.47,,0.81,,6.29,,28.000000000000004,"(28.000000000000004, None)"
970,PTB7:PC71BM,8.32,,0.76,,14.51,,72.9,"(72.9, None)"
971,P1/PC61BM,0.53,,0.43,,2.89,,47.0,"(47.0, None)"
972,P2/PC61BM,0.44,,0.43,,2.73,,41.0,"(41.0, None)"
973,CH3NH3PbI3,19.3,,1.1,,21.78,,80.3,"(80.3, None)"
974,SubPc/C60,2.62,,0.96,,4.81,,56.88,"(56.88, None)"
975,SubPc/C60,2.53,,0.9,,4.59,,61.33,"(61.33, None)"
976,TPDI/SubPc/C60,2.85,,1.18,,5.54,,43.56,"(43.56, None)"
977,TPDI/SubPc/C60,3.21,,1.15,,5.63,,49.47,"(49.47, None)"
978,TBDI/SubPc/C60,3.56,,1.13,,5.69,,55.22,"(55.22, None)"
979,SubNc/C60,3.23,,0.84,,6.83,,56.09,"(56.09, None)"
980,TPDI/SubNc/C60,4.15,,0.85,,8.13,,59.86,"(59.86, None)"
981,TBDI/SubNc/C60,4.17,,0.84,,7.95,,62.5,"(62.5, None)"
982,ZnO/CuSbS2,1.61,,0.491,,5.87,,56.0,"(56.0, None)"
983,ZnO,0.18,,0.269,,1.2,,55.0,"(55.0, None)"
984,Cu2O,13.7,,0.584,,36.8,,63.8,"(63.8, None)"
985,PBDB-T,14.02,,0.916,,21.55,,71.1,"(71.1, None)"
986,PBDB-T,7.41,,0.872,,15.08,,56.4,"(56.4, None)"
987,PBDB-T,14.02,,0.899,,20.74,,70.7,"(70.7, None)"
988,PBDB-T,13.47,,0.898,,20.94,,71.6,"(71.6, None)"
989,Subphthalocyanine/C70,4.2,,1.05,,6.5,,61.0,"(61.0, None)"
990,BDT-BT-C24,4.6,,0.87,,8.8,,60.0,"(60.0, None)"
991,BDT-FBT-C24,4.4,,0.99,,7.3,,62.0,"(62.0, None)"
992,D2R(8 + 2)7T,2.46,,0.92,,6.77,,39.0,"(39.0, None)"
993,DTDMP7T,4.05,,0.9,,7.54,,60.0,"(60.0, None)"
994,BCCPDQ,0.4,,0.5,,2.56,,29.4,"(29.4, None)"
995,BCCPDQ/TiO2 NPs,2.26,,1.0,,6.72,,33.6,"(33.6, None)"
996,MAPbI3,10.2,,0.96,,15.5,,68.6,"(68.6, None)"
